User ID,Height (cm),Weight (kg),Chest (cm),Waist (cm),Hip (cm),Age,Gender,Product ID,Category,Size Purchased,Fit Feedback,Return/Exchange Date,Reason for Return,Size Exchanged,Final Outcome,Cluster ID,Cluster Description,Brand ID,Generated Size Chart,Confidence Scores
1,188,74,82,87,90,42,Male,101,Bottoms,S,1,2023-07-15,N/A,XL,Returned,C01,Tall and Athletic,B03,"M: 0.95, L: 0.80",High
2,178,79,80,72,113,25,Female,121,Tops,M,1,N/A,Changed Mind,N/A,Returned,C04,Tall and Athletic,B02,"M: 0.95, L: 0.80",Medium
3,164,67,82,76,90,22,Male,144,Bottoms,L,0,2023-07-25,N/A,S,Kept,C04,Athletic Build,B03,"L: 0.93, XL: 0.86",Low
4,157,60,104,68,102,39,Female,137,Tops,XS,0,2023-07-20,N/A,M,Kept,C04,Petite,B04,"L: 0.93, XL: 0.86",Low
5,170,78,84,80,106,27,Female,106,Dresses,XL,0,2023-07-15,Incorrect Size,S,Returned,C01,Tall and Athletic,B03,"XS: 0.90, S: 0.85",High
6,188,66,86,90,87,25,Female,114,Bottoms,XS,1,2023-07-25,Changed Mind,M,Returned,C01,Average Build,B02,"S: 0.92, M: 0.87",Medium
7,168,75,82,93,99,44,Male,193,Tops,M,1,2023-08-01,Changed Mind,N/A,Returned,C01,Average Build,B01,"S: 0.92, M: 0.87",High
8,172,72,83,93,91,27,Male,101,Dresses,M,1,2023-07-25,Defective,N/A,Returned,C02,Average Build,B04,"M: 0.95, L: 0.80",High
9,160,69,96,70,97,33,Male,108,Dresses,XL,0,2023-07-30,Changed Mind,XL,Returned,C01,Petite,B04,"L: 0.93, XL: 0.86",Medium
10,160,51,82,69,94,27,Male,144,Bottoms,XL,1,2023-07-15,N/A,XL,Returned,C01,Petite,B04,"S: 0.92, M: 0.87",High
11,173,73,102,65,88,30,Female,183,Dresses,XL,0,2023-07-25,Incorrect Size,N/A,Kept,C03,Petite,B03,"S: 0.92, M: 0.87",Medium
12,185,80,83,78,100,29,Female,187,Bottoms,L,0,2023-07-30,Incorrect Size,S,Returned,C02,Tall and Athletic,B03,"S: 0.92, M: 0.87",Low
13,189,76,81,93,93,45,Female,175,Bottoms,M,1,2023-07-25,Incorrect Size,S,Returned,C01,Tall and Athletic,B03,"S: 0.92, M: 0.87",Medium
14,173,51,93,73,105,42,Female,127,Dresses,XL,1,2023-08-01,N/A,XL,Returned,C03,Athletic Build,B04,"M: 0.95, L: 0.80",Low
15,152,63,84,82,112,29,Male,136,Dresses,M,1,2023-08-01,Defective,S,Returned,C03,Petite,B03,"M: 0.95, L: 0.80",High
16,171,53,100,70,94,30,Male,142,Bottoms,L,0,2023-07-30,Defective,S,Kept,C03,Athletic Build,B04,"M: 0.95, L: 0.80",High
17,151,62,81,79,103,20,Male,120,Dresses,L,0,2023-08-01,Changed Mind,S,Returned,C03,Tall and Athletic,B04,"XS: 0.90, S: 0.85",Low
18,173,85,94,80,101,34,Female,108,Bottoms,M,1,2023-07-30,Incorrect Size,S,Returned,C01,Petite,B03,"XS: 0.90, S: 0.85",High
